Structure	PredictedUnits	TMscore	Evaluation	Ignored
1jfl_A	60-118;172-228	0.78386;0.78386	TP	
1jh7_A				184-188;185-189
1jly_A	12-143;169-290	0.86552;0.86552	TP	
1jnx_X	No repeats found			
1jr2_A				3-13;4-14
1jsg_A	No repeats found			
1jtg_B	1-32;80-111	0.77360;0.77360	TP	
1k28_D	No repeats found			
1k2y_X	No repeats found			
1k6k_A	5-20;7-22	0.87500;0.87500	TP	
1k8k_D	No repeats found			
1kap_P	No repeats found			
1kg1_A	No repeats found			
1kiz_A	No repeats found			
1knc_A	26-57;142-173	0.48486;0.48486	TP	
1kpl_B	31-202;247-414	0.76682;0.76682	TP	
1kt1_A	21-138;138-251	0.85246;0.85246	TP	
1ky9_B	No repeats found			
1kzq_A	6-145;136-270	0.82070;0.82070	TP	
1lar_A	37-274;326-565	0.96735;0.96735	TP	
1li1_A	11-111;121-225	0.85549;0.85549	TP	
1lpb_A	No repeats found			
1m9n_A				2-11;3-12
1m9s_A	27-116;115-204	0.80376;0.80376	TP	
1moq_A	No repeats found			
1msv_A	137-213;218-296	0.30149;0.30149		
1n0f_G				2-9;3-10
1n81_A	No repeats found			
1nol_A	No repeats found			
1nu9_C	No repeats found			
1o70_A	43-154;189-307	0.79653;0.79653	TP	
1o9s_A	No repeats found			
1ock_A	No repeats found			
1opm_A	No repeats found			
1pg6_A	64-126;118-181	0.48033;0.48033	TP	
1pgj_A	158-292;300-440	0.65415;0.65415	TP	
1ppr_M	1-150;164-312	0.96666;0.96666	TP	
1pv6_A	No repeats found			
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	51-185;254-397	0.83767;0.83767	TP	
1qm4_A	No repeats found			
1qme_A	193-276;572-654	0.27475;0.27475		
1qmh_A				342-346;343-347
1qqg_A	No repeats found			
1qr0_A	6-85;108-186	0.54414;0.54414	TP	
1qs1_A	No repeats found			
1qtq_A	No repeats found			
1qun_B	No repeats found			
1r51_A	No repeats found			
1r56_E	No repeats found			
1rhz_A	No repeats found			
1rl6_A	14-31;40-57	0.35552;0.35552		
1rwt_J	40-89;156-204	0.75645;0.75645	TP	
1s3n_A				2-9;3-10
1skz_A	2-54;56-109	0.54248;0.54248	TP	
1sr9_B	No repeats found			
1sum_B	No repeats found			
1t0t_Y	No repeats found			
1t3t_A	No repeats found			
1tbr_R	15-48;68-101	0.84685;0.84685	TP	
1tdj_A	No repeats found			
1toc_R	6-51;66-114	0.55357;0.55357	TP	
1ttu_A	No repeats found			
1v9m_A	56-156;160-263	0.51531;0.51531	TP	
1vjl_A				7-11;8-12
1vk6_A	No repeats found			
1vkw_A				7-11;8-12
1vl4_B	No repeats found			
1vlb_A	No repeats found			
1vly_A	8-23			7-20
1wba_A	79-111;143-174	0.37215;0.37215		
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	No repeats found			
2bn2_A	12-31;60-77	0.50785;0.50785	TP	
2bs2_C	10-43;197-229	0.65809;0.65809	TP	
2dri_A	11-60;62-111	0.38742;0.38742		
2g3p_A				67-78;77-88
2gep_A	37-97;315-374	0.62443;0.62443	TP	
2psp_A	16-54;65-103	0.75871;0.75871	TP	
2up1_A	6-87;97-178	0.86806;0.86806	TP	
3ezm_A	2-50;52-101	0.87229;0.87229	TP	
3pep_A	No repeats found			
4pro_C	No repeats found			
7acn_A	No repeats found			
8gep_A	37-97;315-374	0.58797;0.58797	TP	
