1itb_B	36-117;139-203	0.71159;0.71159	TP	
1itk_B	86-392;454-711	0.75835;0.75835	TP	
1j6z_A	No repeats found			
1jfl_A	34-140;141-226	0.73333;0.73333	TP	
1jh7_A	No repeats found			
1jly_A	1-155;159-299	0.88686;0.88686	TP	
1jnx_X	1650-1737;1764-1856	0.69501;0.69501	TP	
1jr2_A	1-130;161-256	0.60812;0.60812	TP	
1jsg_A	16-57;60-114	0.72517;0.72517	TP	
1jtg_B	3-75;82-164	0.77833;0.77833	TP	
1k6k_A	1-66;79-142	0.74823;0.74823	TP	
1k8k_D	32-135;141-266	0.68764;0.68764	TP	
1kg1_A	No repeats found			
1kiz_A	5-100;129-163;220-275	;0.59649;0.59649	TP	
1knc_A	21-92;104-175	0.74802;0.74802	TP	
1kpl_B	33-233;252-440	0.79204;0.79204	TP	
1kzq_A	7-131;138-255	0.83409;0.83409	TP	
1lar_A	1309-1585;1592-1876	0.95287;0.95287	TP	
1li1_A	6-114;116-228	0.86178;0.86178	TP	
1lpb_A	No repeats found			
1moq_A	288-441;460-591	0.78014;0.78014	TP	
1msv_A	10-161;175-324	0.65390;0.65390	TP	
1n0f_G	29-99;100-153	0.74303;0.74303	TP	
1n81_A	32-109;116-194	0.84124;0.84124	TP	
1nu9_C	26-85;180-228	0.56496;0.56496	TP	
1o70_A	328-465;480-618	0.77348;0.77348	TP	
1ock_A	No repeats found			
1opm_A	61-174;202-296	0.75244;0.75244	TP	
1pg6_A	24-94;103-166;166-217	0.51987;0.64549;0.64549	TP	
1ppr_M	1-150;164-312	0.96666;0.96666	TP	
1pv6_A	6-190;219-402	0.76001;0.76001	TP	
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	25-204;228-430	0.84956;0.84956	TP	
1qm4_A	30-110;153-246;294-320	0.66294;0.66294;	TP	
1qqg_A	15-90;164-227	0.65533;0.65533	TP	
1qr0_A	10-65;116-160	0.70292;0.70292	TP	
1qs1_A	69-264;274-461	0.80743;0.80743	TP	
1qun_B	34-135;179-256	0.54349;0.54349	TP	
1r51_A	5-137;141-295	0.79955;0.79955	TP	
1rhz_A	134-168;312-342	0.72442;0.72442	TP	
1rl6_A	7-81;93-148	0.72186;0.72186	TP	
1rwt_J	46-87;161-202	0.82400;0.82400	TP	
1s3n_A	No repeats found			
1skz_A	13-55;67-110	0.60119;0.60119	TP	
1sum_B	12-69;148-200	0.53336;0.53336	TP	
1t0t_Y	7-111;140-239	0.73011;0.73011	TP	
1tbr_R	9-49;62-102	0.83001;0.83001	TP	
1toc_R	17-51;75-114	0.58860;0.58860	TP	
1v9m_A	81-178;189-275	0.68704;0.68704	TP	
1vjl_A	1-43;67-121	0.63027;0.63027	TP	
1vkw_A	23-115;130-203	0.71555;0.71555	TP	
1wba_A	3-63;70-124	0.54111;0.54111	TP	
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	No repeats found			
2bn2_A	No repeats found			
2bs2_C	76-119;207-253	0.52885;0.52885	TP	
2dri_A	2-88;124-214	0.74632;0.74632	TP	
2g3p_A	No repeats found			
2psp_A	10-53;59-102	0.80680;0.80680	TP	
2up1_A	13-97;104-188	0.86898;0.86898	TP	
3ezm_A	3-50;53-101	0.88419;0.88419	TP	
3pep_A	No repeats found			
4pro_C	22-71;87-136	0.66917;0.66917	TP	
