
Structure	ReferenceUnits	Comments
1pg6_A	(5-92;93-156)	
1pgj_A	(179-324;325-478)	
1ppr_M	(1-156;157-312)	
1pw4_A	(5-226;240-451)	
1qd1_B	(2002-2177;2178-2326)	
1qjs_A	(24-218;223-435)	
2bs2_C	(1-103;104-254)	
1qm4_A	(17-116;129-252)	
1qme_A	(632-692;693-750)	
1qmh_A	(5-85;86-179;180-338)	
1qqg_A	(12-114;159-262)	
1qr0_A	(1-101;102-207)	
1qs1_A	(60-262;263-461)	
1qtq_A	(339-442;454-547)	
1qun_B	(1-158;159-279)	
1r51_A	(2-137;138-295)	
1rhz_A	(2-204;205-433)	
1rl6_A	(7-77;78-170)	
1rwt_A	(14-134;135-231)	
1s3n_A	(1-81;82-141)	
1skz_A	(7-60;61-110)	
1sum_B	(2-113;114-225)	
1t0t_V	(6-133;134-248)	
1t3t_A	(1-69;70-152)	
1tbr_R	(1-55;56-103)	
1tdj_A	(336-423;424-514)	
1toc_R	(1-59;60-119)	
1ttu_A	(381-439;484-541)	
1v9m_A	(78-178;186-280)	
1vjl_A	(1-67;68-150)	
1vk6_A	(1-125;126-256)	
1vkw_A	(1-113;114-206)	
1vl4_A	(2-86;91-214)	
1vlb_A	(350-608;609-907)	
1vly_A	(115-197;26-114)	
1wba_A	(2-66;67-126;127-172)	
1ycq_A	(21-65;66-108)	
1yua_A	(1-63;64-122)	
2bmi_A	(4-116;117-231)	
2bn2_A	(1-51;52-85)	
2dri_A	(1-122;123-271)	
2g3p_A	(2-105;106-219)	
2gep_A	(146-345;426-570)	
2psp_A	(2-54;55-106)	
2up1_A	(8-103;104-190)	
3ezm_A	(1-50;51-101)	
3pep_A	(1-170;171-326)	
4pro_C	(6-86;87-166)	
7acn_A	(62-192;346-475)	
8gep_A	(81-145;346-425)	
Not evaluated		
1c3m_A	(3-26,125-147;27-75;76-124)	CircularPermutation
1cy8_A	(189-214,474-514,515-538;380-403,281-327,365-379) (215-264,458-473;404-457,265-280)	CircularPermutation
1dmr_A	(377-500,85-145;146-258,259-376)	CircularPermutation
1hxr_B	(9-77,117-123;88-116,78-87)	CircularPermutation
1i1q_A	(5-57,178-224;99-177,58-98;258-310,466-516;387-465,311-386)	CircularPermutation
1i31_A	(159-285,393-435;286-376,377-392)	CircularPermutation
1in0_A	(101-163,2-9;10-89,90-100)	CircularPermutation
1iwg_A	(38-134;567-673) (182-273;725-812) (7-37,331-498;513-566,869-1036)	CircularPermutation
1n2m_A	(7-84,152-165;101-151,85-100)	CircularPermutation
1pv5_A	(145-261,1-26;27-130,131-144)	CircularPermutation
1squ_A	(1-39,129-152;75-128,40-74)	CircularPermutation
1uta_A	(243-256,293-319;282-292,257-281)	CircularPermutation
1vmo_A	(1-28,134-163;29-81;82-133)	CircularPermutation
4csm_A	(150-243,1-25;26-130,131-149)	CircularPermutation
