Structure	PredictedUnits	TMscore	Evaluation	Ignored
1ky9_B	No repeats found			
1kzq_A	6-145;136-270	0.98438;1.00000	TP;TP	
1lar_A	37-274;326-565	1.00000;1.00000	TP;TP	
1li1_A	11-111;121-225	1.00000;1.00000	TP;TP	
1lpb_A	No repeats found			
1m9n_A				2-11;3-12
1m9s_A	27-116;115-204	0.26202;0.26764	FP;FP	
1moq_A	No repeats found			
1msv_A	137-213;218-296	0.61039;1.00000	TP;TP	
1n0f_G				2-9;3-10
1n2m_A	No repeats found			
1n81_A	No repeats found			
1nol_A	No repeats found			
1nu9_C	No repeats found			
1o70_A	43-154;189-307	1.00000;1.00000	TP;TP	
1o9s_A	No repeats found			
1ock_A	No repeats found			
1opm_A	No repeats found			
1pg6_A	64-126;118-181	0.57143;0.68421	TP;TP	
1pgj_A	158-292;300-440	0.84444;0.82270	TP;TP	
1ppr_M	1-150;164-312	1.00000;1.00000	TP;TP	
1pv5_A	58-96;191-230	1.00000;1.00000	TP;TP	
1pv6_A	No repeats found			
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	51-185;254-397	1.00000;1.00000	TP;TP	
1qm4_A	No repeats found			
1qme_A	193-276;572-654	0.29091;1.00000	FP;TP	
1qmh_A				342-346;343-347
1qqg_A	No repeats found			
1qr0_A	6-85;108-186	0.56857;1.00000	TP;TP	
1qs1_A	No repeats found			
1qtq_A	No repeats found			
1qun_B	No repeats found			
1r51_A	No repeats found			
1r56_E	No repeats found			
1rhz_A	No repeats found			
1rl6_A	14-31;40-57	1.00000;1.00000	TP;TP	
1rwt_J	40-89;156-204	0.99612;0.99575	TP;TP	
1s3n_A				2-9;3-10
1skz_A	2-54;56-109	1.00000;0.98000	TP;TP	
1squ_A	No repeats found			
1sr9_B	No repeats found			
1sum_B	No repeats found			
1t0t_Y	No repeats found			
1t3t_A	No repeats found			
1tbr_R	15-48;68-101	1.00000;1.00000	TP;TP	
1tdj_A	No repeats found			
1toc_R	6-51;66-114	1.00000;1.00000	TP;TP	
1ttu_A	No repeats found			
1uta_A	1-44;39-80	0.70018;0.64018	TP;TP	
1v9m_A	56-156;160-263	0.78218;0.82105	TP;TP	
1vjl_A				7-11;8-12
1vk6_A	No repeats found			
1vkw_A				7-11;8-12
1vl4_B	No repeats found			
1vlb_A	No repeats found			
1vly_A	8-23	0.30562	FP	7-20
1vmo_A	3-57;109-161	0.55086;0.53067	TP;TP	
1wba_A	79-111;143-174	1.00000;1.00000	TP;TP	
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	No repeats found			
2bn2_A	12-31;60-77	1.00000;1.00000	TP;TP	
2bs2_C	10-43;197-229	1.00000;1.00000	TP;TP	
2dri_A	11-60;62-111	1.00000;1.00000	TP;TP	
2g3p_A				67-78;77-88
2gep_A	37-97;315-374	0.39968;0.33839	FP;FP	
2psp_A	16-54;65-103	1.00000;1.00000	TP;TP	
2up1_A	6-87;97-178	1.00000;1.00000	TP;TP	
3ezm_A	2-50;52-101	1.00000;1.00000	TP;TP	
3pep_A	No repeats found			
4csm_A	No repeats found			
4pro_C	No repeats found			
7acn_A	No repeats found			
8gep_A	37-97;315-374	0.58491;0.63333	TP;TP	
